uuid,distance,rssi
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-84
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-80
d6:fb:b2:5e:83:c5,5,-94
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-81
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-80
d6:fb:b2:5e:83:c5,5,-87
d6:fb:b2:5e:83:c5,5,-90
d6:fb:b2:5e:83:c5,5,-94
d6:fb:b2:5e:83:c5,5,-80
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-79
d6:fb:b2:5e:83:c5,5,-101
d6:fb:b2:5e:83:c5,5,-84
d6:fb:b2:5e:83:c5,5,-99
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-85
d6:fb:b2:5e:83:c5,5,-84
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-77
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-85
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-81
d6:fb:b2:5e:83:c5,5,-99
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-83
d6:fb:b2:5e:83:c5,5,-101
d6:fb:b2:5e:83:c5,5,-86
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-81
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-90
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-100
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-90
d6:fb:b2:5e:83:c5,5,-102
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-83
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-94
d6:fb:b2:5e:83:c5,5,-90
d6:fb:b2:5e:83:c5,5,-100
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-81
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-94
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-94
d6:fb:b2:5e:83:c5,5,-77
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-102
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-79
d6:fb:b2:5e:83:c5,5,-101
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-100
d6:fb:b2:5e:83:c5,5,-100
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-94
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-94
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-101
d6:fb:b2:5e:83:c5,5,-101
d6:fb:b2:5e:83:c5,5,-78
d6:fb:b2:5e:83:c5,5,-103
d6:fb:b2:5e:83:c5,5,-85
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-99
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-80
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-98
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-82
d6:fb:b2:5e:83:c5,5,-81
d6:fb:b2:5e:83:c5,5,-99
d6:fb:b2:5e:83:c5,5,-100
d6:fb:b2:5e:83:c5,5,-103
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-78
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-99
d6:fb:b2:5e:83:c5,5,-85
d6:fb:b2:5e:83:c5,5,-85
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-82
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-83
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-90
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-83
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-83
d6:fb:b2:5e:83:c5,5,-80
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-83
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-85
d6:fb:b2:5e:83:c5,5,-84
d6:fb:b2:5e:83:c5,5,-99
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-80
d6:fb:b2:5e:83:c5,5,-85
d6:fb:b2:5e:83:c5,5,-97
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-93
d6:fb:b2:5e:83:c5,5,-82
d6:fb:b2:5e:83:c5,5,-79
d6:fb:b2:5e:83:c5,5,-82
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-91
d6:fb:b2:5e:83:c5,5,-88
d6:fb:b2:5e:83:c5,5,-79
d6:fb:b2:5e:83:c5,5,-86
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-96
d6:fb:b2:5e:83:c5,5,-95
d6:fb:b2:5e:83:c5,5,-92
d6:fb:b2:5e:83:c5,5,-80
