uuid,distance,rssi
d6:fb:b2:5e:83:c5,0.5,-54.0
d6:fb:b2:5e:83:c5,0.5,-72.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-81.0
d6:fb:b2:5e:83:c5,0.5,-80.0
d6:fb:b2:5e:83:c5,0.5,-80.0
d6:fb:b2:5e:83:c5,0.5,-62.0
d6:fb:b2:5e:83:c5,0.5,-79.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-76.0
d6:fb:b2:5e:83:c5,0.5,-75.0
d6:fb:b2:5e:83:c5,0.5,-80.0
d6:fb:b2:5e:83:c5,0.5,-75.0
d6:fb:b2:5e:83:c5,0.5,-78.0
d6:fb:b2:5e:83:c5,0.5,-73.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-72.0
d6:fb:b2:5e:83:c5,0.5,-73.0
d6:fb:b2:5e:83:c5,0.5,-82.0
d6:fb:b2:5e:83:c5,0.5,-73.0
d6:fb:b2:5e:83:c5,0.5,-58.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-72.0
d6:fb:b2:5e:83:c5,0.5,-72.0
d6:fb:b2:5e:83:c5,0.5,-58.0
d6:fb:b2:5e:83:c5,0.5,-73.0
d6:fb:b2:5e:83:c5,0.5,-58.0
d6:fb:b2:5e:83:c5,0.5,-72.0
d6:fb:b2:5e:83:c5,0.5,-79.0
d6:fb:b2:5e:83:c5,0.5,-70.0
d6:fb:b2:5e:83:c5,0.5,-74.0
d6:fb:b2:5e:83:c5,0.5,-80.0
d6:fb:b2:5e:83:c5,0.5,-72.0
d6:fb:b2:5e:83:c5,0.5,-73.0
d6:fb:b2:5e:83:c5,0.5,-76.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-76.0
d6:fb:b2:5e:83:c5,0.5,-73.0
d6:fb:b2:5e:83:c5,0.5,-75.0
d6:fb:b2:5e:83:c5,0.5,-60.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-72.0
d6:fb:b2:5e:83:c5,0.5,-75.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-75.0
d6:fb:b2:5e:83:c5,0.5,-75.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-62.0
d6:fb:b2:5e:83:c5,0.5,-75.0
d6:fb:b2:5e:83:c5,0.5,-77.0
d6:fb:b2:5e:83:c5,0.5,-73.0
